  0	  0	  0	  0	  0	201	 30	151	159	118	126	118	 99	 57	117	115	161	253	128	205	249	  0	  0	  0	
  0	  0	  0	  0	251	 95	223	 11	222	 75	176	 12	108	 52	183	121	 53	 41	254	182	132	241	  0	  0	
  0	  0	  0	  0	240	 96	 27	133	 49	165	165	159	142	  1	 60	168	203	 77	160	 54	 27	162	249	  0	
  0	  0	247	221	157	205	239	 12	169	210	228	 89	221	 42	211	228	 96	172	 55	 60	 11	149	234	  0	
  0	233	186	101	 46	203	191	121	 60	 54	216	200	102	238	104	140	184	181	170	160	131	202	163	  0	
226	142	212	 55	  2	184	225	103	247	 40	187	163	150	102	164	  4	 57	 81	212	  6	134	 26	 41	  0	
124	162	 86	131	154	112	164	162	227	219	196	231	 78	  3	  6	 36	 15	137	236	138	 15	 59	224	  0	
 96	251	135	111	131	 54	209	186	 51	 17	 84	252	 74	 85	 51	 36	223	 49	  5	  3	 29	195	 98	  0	
226	 83	212	148	232	147	 42	203	233	124	 49	148	144	239	 27	219	224	149	250	158	100	 20	162	  0	
241	192	166	 96	 18	154	 66	133	 33	 97	245	114	 52	142	 42	  2	128	 98	 32	174	208	208	 32	  0	
102	252	168	139	230	181	198	247	 27	238	 43	189	 92	 41	 59	 73	 42	246	 22	211	195	147	 75	  0	
112	 74	159	108	 81	 71	186	127	 48	 48	 93	127	 81	 39	 58	232	159	235	146	 39	218	139	243	  0	
  7	241	220	144	 67	 21	173	124	151	 42	185	191	255	165	118	 50	255	128	152	246	249	195	106	243	
  4	 44	 40	 41	 37	138	138	 74	200	156	254	 99	142	 93	 29	 49	154	205	228	192	136	233	 37	153	
  5	126	159	 10	158	 87	147	179	235	206	120	159	 84	179	204	249	 19	179	  9	165	 90	209	239	 26	
 37	 25	155	167	146	243	 59	 96	 56	231	223	 79	216	136	  3	131	 10	223	 34	137	121	108	130	229	
 87	225	249	 39	200	 72	 45	 59	218	254	 19	100	 89	112	117	101	110	113	  7	  1	 91	 72	168	157	
181	 28	148	132	 97	 47	 67	130	 20	157	174	103	 87	  5	137	175	137	185	163	237	242	194	167	205	
108	234	240	169	221	209	197	 26	171	 58	 23	231	 68	 18	189	 54	154	173	 64	 67	134	198	152	 73	
 91	239	 31	110	104	213	253	 96	 76	 24	248	 88	155	159	220	185	126	231	 21	 83	112	 85	130	192	
146	148	 73	207	139	 88	  2	218	131	193	158	202	 97	219	123	 89	184	254	 56	250	108	243	234	 20	
164	 20	148	205	 46	166	 42	228	 50	137	 10	199	212	221	 38	 70	 83	182	104	191	197	  2	146	 43	
146	 23	103	 13	 21	149	236	201	 45	153	190	153	197	136	122	  4	149	222	 82	 72	196	157	227	170	
178	 10	 61	100	 59	233	 97	246	241	 54	 38	175	 49	 91	244	 31	139	  0	239	 69	220	 42	196	 95	
